"contrast","Cluster","Sex","estimate","SE","df","z.ratio","p.value","Significant"
"PBS - 2xLPS","Ameboid","F",0.503248382266819,0.217679762516468,Inf,2.31187491408967,0.0207845775238151,"significant"
"PBS - LPS","Ameboid","F",0.450892995460678,0.215136176166774,Inf,2.09584925926704,0.0360955650445229,"significant"
"2xLPS - LPS","Ameboid","F",-0.0523553868061411,0.260084583800527,Inf,-0.201301384499956,0.840462920050123,"ns"
"PBS - 2xLPS","Hypertrophic","F",-0.793764781537307,0.235696947688966,Inf,-3.36773466657186,0.000757884970138805,"significant"
"PBS - LPS","Hypertrophic","F",-1.13793343587862,0.2252902484028,Inf,-5.05096622666105,4.39580796080654e-07,"significant"
"2xLPS - LPS","Hypertrophic","F",-0.344168654341314,0.235176188708921,Inf,-1.46345025927473,0.143344214757924,"ns"
"PBS - 2xLPS","Ramified","F",-0.186636274171826,0.177488741244544,Inf,-1.0515386658508,0.293011260580288,"ns"
"PBS - LPS","Ramified","F",0.0775276008256201,0.181171925857308,Inf,0.427922816732,0.668707314718608,"ns"
"2xLPS - LPS","Ramified","F",0.264163874997446,0.206773586596677,Inf,1.27755135143403,0.20140766315429,"ns"
"PBS - 2xLPS","Rod-Like","F",0.172366566389938,0.207315193132551,Inf,0.831422742276933,0.405734855908234,"ns"
"PBS - LPS","Rod-Like","F",0.223165106632529,0.20936463728052,Inf,1.06591595185923,0.286461637309588,"ns"
"2xLPS - LPS","Rod-Like","F",0.0507985402425913,0.244666730248442,Inf,0.207623407526675,0.835523026057168,"ns"
"PBS - 2xLPS","Ameboid","M",0.195120829526157,0.272731753369287,Inf,0.715431287760462,0.474342585059264,"ns"
"PBS - LPS","Ameboid","M",0.473615510304964,0.225408177994337,Inf,2.10114608315969,0.0356281446558411,"significant"
"2xLPS - LPS","Ameboid","M",0.278494680778806,0.301092094535002,Inf,0.924948498594444,0.354992697456712,"ns"
"PBS - 2xLPS","Hypertrophic","M",-0.208977726155576,0.322467916035411,Inf,-0.648057421416855,0.516947811734957,"ns"
"PBS - LPS","Hypertrophic","M",-1.13093617568253,0.228147454958307,Inf,-4.95704050649699,7.15750585972469e-07,"significant"
"2xLPS - LPS","Hypertrophic","M",-0.92195844952695,0.313454783188437,Inf,-2.94128052585085,0.00326858376243351,"significant"
"PBS - 2xLPS","Ramified","M",-0.336345114149838,0.234794157676022,Inf,-1.43251057640855,0.151997753450567,"ns"
"PBS - LPS","Ramified","M",0.199876249318871,0.193719222332577,Inf,1.03178325264864,0.302173666446037,"ns"
"2xLPS - LPS","Ramified","M",0.53622136346871,0.252488600932343,Inf,2.12374484031616,0.0336914856636081,"significant"
"PBS - 2xLPS","Rod-Like","M",0.329735786468398,0.289114436583446,Inf,1.14050266864909,0.254076941535254,"ns"
"PBS - LPS","Rod-Like","M",0.279529519462201,0.223383686335898,Inf,1.25134258480217,0.210809515017366,"ns"
"2xLPS - LPS","Rod-Like","M",-0.050206267006197,0.311735441763133,Inf,-0.161054087152353,0.872050801227973,"ns"
