"contrast","Cluster","estimate","SE","df","z.ratio","p.value","Significant"
"2xLPS - LPS","1",-0.422306848398268,0.187627747131087,Inf,-2.25076970147289,0.0244001274856247,"significant"
"2xLPS - PBS","1",0.492375006779036,0.183974671744009,Inf,2.67631952872377,0.00744356418986397,"significant"
"LPS - PBS","1",0.914681855177304,0.155541634406205,Inf,5.88062391570711,4.08722884902256e-09,"significant"
"2xLPS - LPS","2",-0.230244658912652,0.271530719690129,Inf,-0.847950681880146,0.396465437287958,"ns"
"2xLPS - PBS","2",-0.952136938981042,0.239315352038105,Inf,-3.97858696014386,6.93260554836853e-05,"significant"
"LPS - PBS","2",-0.72189228006839,0.189299959818284,Inf,-3.8134835356614,0.000137021657724362,"significant"
"2xLPS - LPS","3",0.0824363382909742,0.233531546339261,Inf,0.352998725796194,0.72408939579298,"ns"
"2xLPS - PBS","3",-0.155881308973826,0.209174767707422,Inf,-0.745220423487507,0.456138478197344,"ns"
"LPS - PBS","3",-0.2383176472648,0.181066922426052,Inf,-1.31618544166801,0.188111808823311,"ns"
"2xLPS - LPS","4",-0.21482890087921,0.188528085618855,Inf,-1.13950608565308,0.254492131471612,"ns"
"2xLPS - PBS","4",0.384849819045335,0.180337894463806,Inf,2.13404853255938,0.0328388082463043,"significant"
"LPS - PBS","4",0.599678719924544,0.15507890828571,Inf,3.86692637028193,0.000110215686437756,"significant"
"2xLPS - LPS","5",1.21113568232525,0.246725822780558,Inf,4.90883227655686,9.16202918620154e-07,"significant"
"2xLPS - PBS","5",0.130590009422205,0.183980905972585,Inf,0.709801969567779,0.477826947557147,"ns"
"LPS - PBS","5",-1.08054567290305,0.217327807319454,Inf,-4.97196233758864,6.62785830441096e-07,"significant"
